Input : Fractals_0.1M_3V_tiff.tif-bin
Method : Radial
Parameters : cx158.543_cy142.944_coef1.10000_min1.00000_max157.000
Bounds : Range[5.0,157.0]

Dimension : 1.595
b : 1.04538

R2 : 0.990220
p-value : 0.00000
Confidence (95%): [1.533 - 1.656]
Bootstrap confidence : [1.493 - 1.668]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	37.0411
7.00000	49.0000	2.00000	63.3463
9.00000	81.0000	2.00000	94.5756
11.0000	121.000	1.92874	130.245
13.0000	167.000	1.95784	170.005
15.0000	221.000	2.03196	213.585
17.0000	285.000	1.94926	260.770
19.0000	354.000	1.87331	311.381
21.0000	427.000	1.80063	365.265
23.0000	503.000	1.81121	422.294
25.0000	585.000	1.55623	482.352
29.0000	737.000	1.49003	611.164
31.0000	814.000	1.45324	679.748
35.0000	971.000	1.39043	824.899
37.0000	1049.00	1.35058	901.339
41.0000	1205.00	1.30776	1061.66
45.0000	1361.00	1.23551	1231.57
49.0000	1512.00	1.43694	1410.71
55.0000	1785.00	1.43531	1696.06
61.0000	2071.00	1.36070	2000.56
67.0000	2353.00	1.27099	2323.43
73.0000	2624.00	1.23310	2663.98
81.0000	2983.00	1.25724	3144.51
89.0000	3358.00	1.55826	3654.15
97.0000	3840.00	1.44288	4191.80
107.000	4424.00	1.20982	4901.81
117.000	4929.00	1.34369	5652.44
129.000	5620.00	1.75804	6604.79
143.000	6736.00	1.32584	7784.27
157.000	7624.00	NaN	9034.55
