Input : Fractals_0.1M_3V_tiff.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max142.000
Bounds : Range[1.0,142.0]

Dimension : 1.534
b : 9.45449

R2 : 0.999472
p-value : 0.00000
Confidence (95%): [1.522 - 1.546]
Bootstrap confidence : [1.521 - 1.548]

X	Y	Scaling behaviour	Estim
1.00000	12760.0	1.55022	12765.3
2.00000	4357.00	1.48616	4408.83
3.00000	2385.00	1.52500	2367.24
4.00000	1538.00	1.53476	1522.71
5.00000	1092.00	1.55116	1081.38
6.00000	823.000	1.55086	817.588
7.00000	648.000	1.50537	645.438
8.00000	530.000	1.54154	525.907
9.00000	442.000	1.63644	438.988
10.0000	372.000	1.57982	373.484
11.0000	320.000	1.49367	322.690
12.0000	281.000	1.51047	282.375
13.0000	249.000	1.60968	249.753
14.0000	221.000	1.37216	222.919
16.0000	184.000	1.20862	181.636
17.0000	171.000	1.79834	165.508
19.0000	140.000	1.62383	139.550
21.0000	119.000	1.37585	119.692
23.0000	105.000	1.44062	104.104
26.0000	88.0000	2.33810	86.2586
28.0000	74.0000	0.830764	76.9908
31.0000	68.0000	2.49557	65.8630
34.0000	54.0000	0.910163	57.1625
37.0000	50.0000	2.17374	50.2096
41.0000	40.0000	0.551005	42.8952
45.0000	38.0000	2.24362	37.1878
50.0000	30.0000	0.355697	31.6388
55.0000	29.0000	1.70575	27.3359
60.0000	25.0000	1.82933	23.9208
66.0000	21.0000	2.09622	20.6675
73.0000	17.0000	0.662078	17.7069
80.0000	16.0000	2.17856	15.3868
88.0000	13.0000	2.69439	13.2942
97.0000	10.0000	1.07382	11.4499
107.000	9.00000	-0.00000	9.85019
117.000	9.00000	1.20632	8.58879
129.000	8.00000	1.39074	7.39426
142.000	7.00000	NaN	6.38174
