Input : Fractals_25M_3V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max189.000
Bounds : Range[1.0,189.0]

Dimension : 1.537
b : 9.67263

R2 : 0.998725
p-value : 0.00000
Confidence (95%): [1.519 - 1.555]
Bootstrap confidence : [1.515 - 1.558]

X	Y	Scaling behaviour	Estim
1.00000	16462.0	1.59905	15877.0
2.00000	5434.00	1.55301	5472.29
3.00000	2895.00	1.53037	2934.71
4.00000	1864.00	1.56351	1886.12
5.00000	1315.00	1.49098	1338.58
6.00000	1002.00	1.67486	1011.50
7.00000	774.000	1.27307	798.152
8.00000	653.000	1.59750	650.081
9.00000	541.000	1.68495	542.451
10.0000	453.000	1.33176	461.364
11.0000	399.000	1.57174	398.506
12.0000	348.000	1.64775	348.629
13.0000	305.000	1.39716	308.279
14.0000	275.000	1.70521	275.096
16.0000	219.000	1.25140	224.062
17.0000	203.000	1.70142	204.130
19.0000	168.000	1.26646	172.058
21.0000	148.000	1.85660	147.530
23.0000	125.000	1.19233	128.282
26.0000	108.000	1.17412	106.254
28.0000	99.0000	1.38307	94.8166
31.0000	86.0000	1.92351	81.0878
34.0000	72.0000	1.57918	70.3569
37.0000	63.0000	1.32290	61.7836
41.0000	55.0000	1.91955	52.7671
45.0000	46.0000	2.06646	45.7336
50.0000	37.0000	-0.00000	38.8972
55.0000	37.0000	2.79989	33.5977
60.0000	29.0000	0.749752	29.3926
66.0000	27.0000	2.49308	25.3881
73.0000	21.0000	-0.00000	21.7447
80.0000	21.0000	4.25416	18.8904
88.0000	14.0000	0.761064	16.3167
97.0000	13.0000	-0.00000	14.0490
107.000	13.0000	4.11578	12.0827
117.000	9.00000	-0.00000	10.5326
129.000	9.00000	-0.00000	9.06509
142.000	9.00000	1.25263	7.82155
156.000	8.00000	2.94640	6.76922
172.000	6.00000	4.30190	5.82607
189.000	4.00000	NaN	5.04048
