Input : 0.25M_5V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max229.000
Bounds : Range[1.0,229.0]

Dimension : 1.490
b : 9.50668

R2 : 0.996393
p-value : 0.00000
Confidence (95%): [1.462 - 1.519]
Bootstrap confidence : [1.442 - 1.530]

X	Y	Scaling behaviour	Estim
1.00000	19347.0	1.74922	13449.2
2.00000	5755.00	1.66155	4786.88
3.00000	2934.00	1.68677	2615.85
4.00000	1806.00	1.63114	1703.76
5.00000	1255.00	1.56769	1221.73
6.00000	943.000	1.62540	931.038
7.00000	734.000	1.61013	739.933
8.00000	592.000	1.64023	606.405
9.00000	488.000	1.62985	508.777
10.0000	411.000	1.59611	434.842
11.0000	353.000	1.60462	377.261
12.0000	307.000	1.51226	331.377
13.0000	272.000	1.35573	294.113
14.0000	246.000	1.43880	263.359
16.0000	203.000	2.16781	215.833
17.0000	178.000	1.41966	197.187
19.0000	152.000	1.33420	167.065
21.0000	133.000	1.03943	143.915
23.0000	121.000	2.14671	125.668
26.0000	93.0000	1.53504	104.681
28.0000	83.0000	1.26133	93.7352
31.0000	73.0000	1.76810	80.5421
34.0000	62.0000	0.994391	70.1833
37.0000	57.0000	2.08866	61.8733
41.0000	46.0000	0.236103	53.0957
45.0000	45.0000	2.11790	46.2174
50.0000	36.0000	2.26863	39.5012
55.0000	29.0000	-1.13135	34.2705
60.0000	32.0000	3.46492	30.1024
66.0000	23.0000	-0.422199	26.1163
73.0000	24.0000	1.99112	22.4732
80.0000	20.0000	1.70516	19.6064
88.0000	17.0000	0.622595	17.0101
97.0000	16.0000	2.11622	14.7123
107.000	13.0000	2.93653	12.7108
117.000	10.0000	-0.00000	11.1261
129.000	10.0000	-0.00000	9.61936
142.000	10.0000	3.79325	8.33682
156.000	7.00000	-0.00000	7.24668
172.000	7.00000	-0.00000	6.26530
189.000	7.00000	1.60924	5.44423
208.000	6.00000	1.89555	4.71992
229.000	5.00000	NaN	4.08958
