Input : 0.25M_5V_tif.tif-bin
Method : Radial
Parameters : cx296.936_cy209.483_coef1.00000_min1.00000_max421.000
Bounds : Range[13.0,279.0]

Dimension : 1.423
b : 2.03280

R2 : 0.982026
p-value : 0.00000
Confidence (95%): [1.390 - 1.456]
Bootstrap confidence : [1.356 - 1.475]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	
9.00000	81.0000	2.00000	
11.0000	121.000	2.00000	
13.0000	169.000	2.00000	293.848
15.0000	225.000	2.00000	360.219
17.0000	289.000	2.00000	430.452
19.0000	361.000	2.00000	504.277
21.0000	441.000	2.00000	581.469
23.0000	529.000	2.00000	661.839
25.0000	625.000	2.00000	745.224
27.0000	729.000	2.00000	831.483
29.0000	841.000	1.98439	920.490
31.0000	960.000	1.95779	1012.13
33.0000	1085.00	1.95119	1106.32
35.0000	1217.00	1.93293	1202.95
37.0000	1355.00	1.86774	1301.94
39.0000	1495.00	1.75324	1403.23
41.0000	1632.00	1.70432	1506.74
43.0000	1770.00	1.61678	1612.41
45.0000	1905.00	1.65329	1720.18
47.0000	2047.00	1.51057	1829.99
49.0000	2180.00	1.44787	1941.81
51.0000	2310.00	1.41268	2055.57
53.0000	2439.00	1.41242	2171.23
55.0000	2570.00	1.42298	2288.76
57.0000	2704.00	1.43315	2408.10
59.0000	2841.00	1.41274	2529.24
61.0000	2978.00	1.44389	2652.12
63.0000	3120.00	1.45354	2776.72
65.0000	3265.00	1.52080	2903.01
67.0000	3419.00	1.45024	3030.95
69.0000	3568.00	1.41298	3160.52
71.0000	3715.00	1.44352	3291.69
73.0000	3867.00	1.38036	3424.43
75.0000	4014.00	1.40318	3558.72
77.0000	4165.00	1.36171	3694.53
79.0000	4313.00	1.34950	3831.84
81.0000	4461.00	1.36477	3970.63
83.0000	4612.00	1.31773	4110.88
85.0000	4759.00	1.37812	4252.57
87.0000	4914.00	1.40108	4395.67
89.0000	5073.00	1.36289	4540.18
91.0000	5229.00	1.30949	4686.06
93.0000	5380.00	1.28393	4833.31
