Input : Fractal1M3V_Light3_tif.tif-bin
Method : Radial
Parameters : cx184.115_cy288.457_coef1.00000_min1.00000_max339.000
Bounds : Range[5.0,339.0]

Dimension : 1.099
b : 2.78807

R2 : 0.948657
p-value : 0.00000
Confidence (95%): [1.060 - 1.138]
Bootstrap confidence : [0.9871 - 1.184]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	95.2522
7.00000	49.0000	2.00000	137.861
9.00000	81.0000	2.00000	181.706
11.0000	121.000	2.00000	226.533
13.0000	169.000	2.00000	272.176
15.0000	225.000	2.00000	318.522
17.0000	289.000	2.00000	365.483
19.0000	361.000	1.97732	412.995
21.0000	440.000	1.94152	461.005
23.0000	525.000	1.87807	509.469
25.0000	614.000	1.88758	558.352
27.0000	710.000	1.79206	607.623
29.0000	807.000	1.66874	657.256
31.0000	902.000	1.48896	707.229
33.0000	990.000	1.41571	757.522
35.0000	1076.00	1.30610	808.117
37.0000	1157.00	1.16222	858.999
39.0000	1230.00	1.09138	910.153
41.0000	1299.00	1.07130	961.567
43.0000	1367.00	0.929445	1013.23
45.0000	1426.00	0.885802	1065.13
47.0000	1482.00	0.874432	1117.26
49.0000	1537.00	0.878848	1169.61
51.0000	1592.00	0.914514	1222.17
53.0000	1649.00	0.901591	1274.93
55.0000	1705.00	0.857036	1327.90
57.0000	1758.00	0.845268	1381.05
59.0000	1810.00	0.849651	1434.39
61.0000	1862.00	0.805170	1487.90
63.0000	1911.00	0.826425	1541.59
65.0000	1961.00	0.847200	1595.45
67.0000	2012.00	0.867502	1649.47
69.0000	2064.00	0.903862	1703.65
71.0000	2118.00	0.955970	1757.99
73.0000	2175.00	0.940529	1812.48
75.0000	2231.00	0.958615	1867.12
77.0000	2288.00	0.992879	1921.90
79.0000	2347.00	0.959794	1976.82
81.0000	2404.00	1.02732	2031.88
83.0000	2465.00	1.10970	2087.07
85.0000	2531.00	1.10688	2142.40
87.0000	2597.00	1.08767	2197.85
89.0000	2662.00	1.11854	2253.43
91.0000	2729.00	1.16499	2309.14
