Input : Fractal1M5V_Light0_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max229.000
Bounds : Range[1.0,229.0]

Dimension : 1.339
b : 8.73798

R2 : 0.992040
p-value : 0.00000
Confidence (95%): [1.301 - 1.377]
Bootstrap confidence : [1.269 - 1.395]

X	Y	Scaling behaviour	Estim
1.00000	11318.0	1.76589	6235.30
2.00000	3328.00	1.70507	2464.93
3.00000	1667.00	1.61339	1432.30
4.00000	1048.00	1.68850	974.436
5.00000	719.000	1.44971	722.769
6.00000	552.000	1.47111	566.217
7.00000	440.000	1.60754	460.625
8.00000	355.000	1.28886	385.213
9.00000	305.000	1.77412	329.013
10.0000	253.000	1.61045	285.724
11.0000	217.000	0.823222	251.493
12.0000	202.000	1.93617	223.836
13.0000	173.000	0.886480	201.089
14.0000	162.000	1.64802	182.094
16.0000	130.000	0.912997	152.282
17.0000	123.000	1.25291	140.410
19.0000	107.000	1.29426	120.982
21.0000	94.0000	2.19287	105.809
23.0000	77.0000	0.661697	93.6755
26.0000	71.0000	2.04844	79.4941
28.0000	61.0000	0.495476	71.9851
31.0000	58.0000	2.50940	62.8142
34.0000	46.0000	-0.503322	55.5066
37.0000	48.0000	1.30079	49.5651
41.0000	42.0000	2.26993	43.2001
45.0000	34.0000	0.876736	38.1377
50.0000	31.0000	-0.00000	33.1199
55.0000	31.0000	2.94138	29.1520
60.0000	24.0000	0.446538	25.9461
66.0000	23.0000	0.902456	22.8376
73.0000	21.0000	1.68347	19.9542
80.0000	18.0000	1.91293	17.6519
88.0000	15.0000	2.29161	15.5371
97.0000	12.0000	-0.815781	13.6379
107.000	13.0000	1.86976	11.9590
117.000	11.0000	0.976154	10.6107
129.000	10.0000	-0.00000	9.31037
142.000	10.0000	-0.00000	8.18722
156.000	10.0000	2.28541	7.21872
172.000	8.00000	3.05225	6.33411
189.000	6.00000	-0.00000	5.58315
208.000	6.00000	1.89555	4.91110
229.000	5.00000	NaN	4.31767
