Input : 1M_7V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max229.000
Bounds : Range[1.0,229.0]

Dimension : 1.290
b : 8.63637

R2 : 0.994090
p-value : 0.00000
Confidence (95%): [1.259 - 1.321]
Bootstrap confidence : [1.234 - 1.336]

X	Y	Scaling behaviour	Estim
1.00000	8970.00	1.65719	5632.82
2.00000	2844.00	1.52736	2303.39
3.00000	1531.00	1.51546	1365.18
4.00000	990.000	1.52784	941.906
5.00000	704.000	1.40407	706.291
6.00000	545.000	1.27143	558.254
7.00000	448.000	1.57559	457.577
8.00000	363.000	1.42257	385.166
9.00000	307.000	1.46823	330.869
10.0000	263.000	1.22582	288.818
11.0000	234.000	1.18907	255.402
12.0000	211.000	1.37565	228.283
13.0000	189.000	1.75095	205.886
14.0000	166.000	1.01290	187.113
16.0000	145.000	1.05698	157.503
17.0000	136.000	1.74560	145.654
19.0000	112.000	0.934481	126.184
21.0000	102.000	2.00416	110.899
23.0000	85.0000	0.700985	98.6187
26.0000	78.0000	2.46022	84.1913
28.0000	65.0000	0.786408	76.5148
31.0000	60.0000	0.941954	67.0994
34.0000	55.0000	0.892974	59.5612
37.0000	51.0000	1.00516	53.4056
41.0000	46.0000	1.77333	46.7812
45.0000	39.0000	0.499653	41.4872
50.0000	37.0000	2.55610	36.2145
55.0000	29.0000	-0.766467	32.0245
60.0000	31.0000	1.84546	28.6240
66.0000	26.0000	1.21624	25.3122
73.0000	23.0000	3.30119	22.2255
80.0000	17.0000	-0.00000	19.7491
88.0000	17.0000	0.622595	17.4641
97.0000	16.0000	2.11622	15.4024
107.000	13.0000	-0.00000	13.5711
117.000	13.0000	1.71095	12.0936
129.000	11.0000	2.09000	10.6623
142.000	9.00000	-2.13414	9.42012
156.000	11.0000	4.62917	8.34398
172.000	7.00000	-1.41674	7.35645
189.000	8.00000	-0.00000	6.51418
208.000	8.00000	2.99096	5.75691
229.000	6.00000	NaN	5.08510
