Input : 1M_7V_tif.tif-bin
Method : Radial
Parameters : cx256.985_cy206.130_coef1.20000_min1.00000_max411.000
Bounds : Range[7.0,411.0]

Dimension : 1.203
b : 2.08429

R2 : 0.980195
p-value : 0.00000
Confidence (95%): [1.125 - 1.281]
Bootstrap confidence : [1.100 - 1.291]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	83.5402
9.00000	81.0000	2.00000	113.032
11.0000	121.000	1.96447	143.896
13.0000	168.000	1.85259	175.927
15.0000	219.000	1.47004	208.977
19.0000	310.000	1.43778	277.720
23.0000	408.000	1.42825	349.486
27.0000	513.000	1.51005	423.844
31.0000	632.000	1.37711	500.480
39.0000	867.000	1.13750	659.683
47.0000	1072.00	0.941573	825.701
55.0000	1243.00	1.05260	997.584
67.0000	1530.00	1.10331	1264.93
79.0000	1835.00	0.879132	1542.22
95.0000	2158.00	0.792960	1925.34
115.000	2511.00	0.922389	2422.87
137.000	2951.00	0.908254	2990.82
165.000	3494.00	1.00591	3740.70
197.000	4176.00	1.02158	4629.85
237.000	5044.00	1.01823	5782.97
285.000	6086.00	1.10702	7219.57
341.000	7423.00	0.938114	8958.62
411.000	8844.00	NaN	11214.9
