index,mean energies,mean magnetisations
1,-124,0.06
2,-144,0.01
3,-156,0.0133333
4,-167,0.01
5,-173.6,0.008
6,-178,0.00666667
7,-181.143,0.00571429
8,-183.5,0.005
9,-185.333,0.00444444
10,-186.8,0.004
11,-188,0.00363636
12,-189,0.00333333
13,-189.231,0.00153846
14,-189.429,0.00285714
15,-190.133,0.00266667
16,-190.75,0.0025
17,-191.294,0.00235294
18,-191.778,0.00222222
19,-192.211,0.00210526
20,-192.6,0.002
21,-192.952,0.00190476
22,-193.273,0.00181818
23,-193.565,0.00173913
24,-193.833,0.00166667
25,-194.08,0.0016
26,-194.308,0.00153846
27,-194.519,0.00148148
28,-194.714,0.00142857
29,-194.897,0.00137931
30,-195.067,0.00133333
31,-195.226,0.00129032
32,-195.375,0.00125
33,-195.515,0.00121212
34,-195.647,0.00117647
35,-195.771,0.00114286
36,-195.889,0.00111111
37,-196,0.00108108
38,-196.105,0.00105263
39,-196.205,0.00102564
40,-196.3,0.001
41,-196.39,0.00097561
42,-196.476,0.000952381
43,-196.558,0.000930233
44,-196.636,0.000909091
45,-196.711,0.000888889
46,-196.783,0.000869565
47,-196.851,0.000851064
48,-196.917,0.000833333
49,-196.98,0.000816327
50,-197.04,0.0008
51,-197.098,0.000784314
52,-197.154,0.000769231
53,-197.208,0.000754717
54,-197.259,0.000740741
55,-197.309,0.000727273
56,-197.357,0.000714286
57,-197.404,0.000701754
58,-197.448,0.000689655
59,-197.492,0.000677966
60,-197.533,0.000666667
61,-197.574,0.000655738
62,-197.613,0.000645161
63,-197.651,0.000634921
64,-197.688,0.000625
65,-197.723,0.000615385
66,-197.758,0.000606061
67,-197.791,0.000597015
68,-197.824,0.000588235
69,-197.855,0.00057971
70,-197.886,0.000571429
71,-197.915,0.00056338
72,-197.944,0.000555556
73,-197.973,0.000547945
74,-197.784,0.000540541
75,-197.813,0.000533333
76,-197.842,0.000526316
77,-197.87,0.00051948
78,-197.897,0.00051282
79,-197.924,0.000506329
80,-197.95,0.0005
81,-197.975,0.000493827
82,-198,0.000487805
83,-198.024,0.000481928
84,-198.048,0.00047619
85,-198.071,0.000470588
86,-198.093,0.000465116
87,-198.115,0.00045977
88,-198.136,0.000454545
89,-198.157,0.000449438
90,-198.178,0.000444444
91,-198.198,0.00043956
92,-198.217,0.000434783
93,-198.237,0.000430108
94,-198.255,0.000425532
95,-198.274,0.000421053
96,-198.292,0.000416667
97,-198.309,0.000412371
98,-198.327,0.000408163
99,-198.343,0.00040404
100,-198.36,0.0004
101,-198.376,0.00039604
102,-198.392,0.000392157
103,-198.408,0.000388349
104,-198.423,0.000384615
105,-198.438,0.000380952
106,-198.453,0.000377358
107,-198.467,0.000373832
108,-198.481,0.00037037
109,-198.495,0.000366972
110,-198.509,0.000363636
111,-198.523,0.00036036
112,-198.536,0.000357143
113,-198.549,0.000353982
114,-198.561,0.000350877
115,-198.574,0.000347826
116,-198.586,0.000344828
117,-198.598,0.00034188
118,-198.61,0.000338983
119,-198.622,0.000336134
120,-198.633,0.000333333
121,-198.645,0.000330579
122,-198.656,0.000327869
123,-198.667,0.000325203
124,-198.677,0.000322581
125,-198.688,0.00032
126,-198.698,0.00031746
127,-198.709,0.000314961
128,-198.719,0.0003125
129,-198.729,0.000310078
130,-198.738,0.000307692
131,-198.748,0.000305344
132,-198.758,0.00030303
133,-198.767,0.000300752
134,-198.776,0.000298507
135,-198.785,0.000296296
136,-198.794,0.000294118
