index,mean energies,mean magnetisations
1,-182,0.54
2,-241,0.77
3,-260.667,0.846667
4,-270.5,0.885
5,-276.4,0.908
6,-280.333,0.923333
7,-283.143,0.934286
8,-285.25,0.9425
9,-286.889,0.948889
10,-288.2,0.954
11,-289.273,0.958182
12,-290.167,0.961667
13,-290.923,0.964615
14,-291.571,0.967143
15,-292.133,0.969333
16,-292.625,0.97125
17,-293.059,0.972941
18,-293.444,0.974445
19,-293.789,0.97579
20,-294.1,0.977
21,-294.381,0.978095
22,-294.636,0.979091
23,-294.87,0.98
24,-295.083,0.980833
25,-295.28,0.9816
26,-295.462,0.982308
27,-295.63,0.982963
28,-295.786,0.983571
29,-295.931,0.984138
30,-296.067,0.984667
31,-296.194,0.985161
32,-296.312,0.985625
33,-296.424,0.986061
34,-296.529,0.986471
35,-296.629,0.986857
36,-296.722,0.987222
37,-296.811,0.987568
38,-296.895,0.987895
39,-296.974,0.988205
40,-297.05,0.9885
41,-297.122,0.98878
42,-297.19,0.989048
43,-297.256,0.989302
44,-297.318,0.989545
45,-297.378,0.989778
46,-297.435,0.99
47,-297.489,0.990213
48,-297.542,0.990417
49,-297.592,0.990612
50,-297.64,0.9908
51,-297.686,0.99098
52,-297.731,0.991154
53,-297.774,0.991321
54,-297.815,0.991481
55,-297.855,0.991636
56,-297.893,0.991786
57,-297.93,0.99193
58,-297.966,0.992069
59,-298,0.992203
60,-298.033,0.992333
61,-298.066,0.992459
62,-298.097,0.992581
63,-298.127,0.992698
64,-298.156,0.992813
65,-298.185,0.992923
66,-298.212,0.99303
67,-298.239,0.993134
68,-298.265,0.993235
69,-298.29,0.993333
70,-298.314,0.993429
71,-298.338,0.993521
72,-298.361,0.993611
73,-298.384,0.993699
74,-298.405,0.993784
75,-298.427,0.993867
76,-298.447,0.993947
77,-298.468,0.994026
78,-298.487,0.994103
79,-298.506,0.994177
80,-298.525,0.99425
81,-298.543,0.994321
82,-298.561,0.99439
83,-298.578,0.994458
84,-298.595,0.994524
85,-298.612,0.994588
86,-298.628,0.994651
87,-298.644,0.994713
88,-298.659,0.994773
89,-298.674,0.994831
90,-298.689,0.994889
91,-298.703,0.994945
92,-298.717,0.995
93,-298.731,0.995054
94,-298.745,0.995106
95,-298.758,0.995158
96,-298.771,0.995208
97,-298.784,0.995258
98,-298.796,0.995306
99,-298.808,0.995354
100,-298.82,0.9954
101,-298.832,0.995446
102,-298.843,0.99549
103,-298.854,0.995534
104,-298.865,0.995577
105,-298.876,0.995619
106,-298.887,0.99566
107,-298.897,0.995701
108,-298.907,0.995741
109,-298.917,0.99578
110,-298.927,0.995818
111,-298.937,0.995856
112,-298.946,0.995893
113,-298.956,0.995929
114,-298.965,0.995965
115,-298.974,0.996
116,-298.983,0.996035
117,-298.991,0.996068
118,-299,0.996102
119,-299.008,0.996134
120,-299.017,0.996167
121,-299.025,0.996198
122,-299.033,0.99623
123,-299.041,0.99626
124,-299.048,0.99629
125,-299.056,0.99632
126,-299.064,0.996349
127,-299.071,0.996378
128,-299.078,0.996406
129,-299.085,0.996434
130,-299.092,0.996462
131,-299.099,0.996489
132,-299.106,0.996515
133,-299.113,0.996541
134,-299.119,0.996567
135,-299.126,0.996593
136,-299.132,0.996618
137,-299.139,0.996642
138,-299.145,0.996667
139,-299.151,0.996691
140,-299.157,0.996714
141,-299.163,0.996738
142,-299.169,0.996761
143,-299.105,0.996643
144,-299.111,0.996667
145,-299.117,0.99669
146,-299.123,0.996712
147,-299.129,0.996735
148,-299.135,0.996757
149,-299.141,0.996779
150,-299.147,0.9968
151,-299.152,0.996821
152,-299.158,0.996842
153,-299.163,0.996863
154,-299.169,0.996883
155,-299.174,0.996903
156,-299.179,0.996923
157,-299.185,0.996943
158,-299.19,0.996962
159,-299.195,0.996981
160,-299.2,0.997
161,-299.205,0.997019
162,-299.21,0.997037
163,-299.215,0.997055
164,-299.22,0.997073
165,-299.224,0.997091
166,-299.229,0.997108
167,-299.234,0.997126
168,-299.238,0.997143
169,-299.243,0.99716
170,-299.247,0.997176
171,-299.251,0.997193
172,-299.256,0.997209
173,-299.26,0.997225
174,-299.264,0.997241
175,-299.269,0.997257
176,-299.273,0.997273
177,-299.277,0.997288
178,-299.281,0.997303
179,-299.285,0.997318
180,-299.289,0.997333
181,-299.293,0.997348
182,-299.297,0.997363
183,-299.301,0.997377
184,-299.304,0.997391
185,-299.308,0.997405
186,-299.312,0.997419
187,-299.316,0.997433
188,-299.319,0.997447
189,-299.323,0.99746
190,-299.326,0.997474
191,-299.33,0.997487
192,-299.333,0.9975
193,-299.337,0.997513
194,-299.34,0.997526
195,-299.344,0.997539
196,-299.347,0.997551
197,-299.35,0.997563
198,-299.354,0.997576
199,-299.357,0.997588
200,-299.36,0.9976
201,-299.363,0.997612
202,-299.366,0.997624
203,-299.369,0.997635
204,-299.373,0.997647
205,-299.376,0.997659
206,-299.379,0.99767
207,-299.382,0.997681
208,-299.385,0.997692
209,-299.388,0.997703
210,-299.39,0.997714
211,-299.393,0.997725
212,-299.396,0.997736
213,-299.399,0.997747
214,-299.402,0.997757
215,-299.405,0.997767
216,-299.407,0.997778
217,-299.41,0.997788
218,-299.413,0.997798
219,-299.416,0.997808
220,-299.418,0.997818
221,-299.421,0.997828
222,-299.423,0.997838
223,-299.426,0.997848
224,-299.429,0.997857
225,-299.431,0.997867
226,-299.434,0.997876
227,-299.436,0.997885
228,-299.439,0.997895
229,-299.441,0.997904
230,-299.443,0.997913
231,-299.446,0.997922
232,-299.448,0.997931
233,-299.451,0.99794
234,-299.453,0.997949
235,-299.455,0.997957
236,-299.458,0.997966
237,-299.46,0.997975
238,-299.462,0.997983
239,-299.464,0.997992
240,-299.467,0.998
241,-299.469,0.998008
242,-299.471,0.998017
243,-299.473,0.998025
244,-299.475,0.998033
245,-299.478,0.998041
246,-299.48,0.998049
247,-299.482,0.998057
248,-299.484,0.998065
249,-299.486,0.998072
250,-299.488,0.99808
251,-299.49,0.998088
252,-299.492,0.998095
253,-299.494,0.998103
254,-299.496,0.99811
255,-299.498,0.998118
256,-299.5,0.998125
257,-299.502,0.998132
258,-299.504,0.99814
259,-299.506,0.998147
260,-299.508,0.998154
261,-299.51,0.998161
262,-299.511,0.998168
263,-299.513,0.998175
264,-299.515,0.998182
265,-299.517,0.998189
266,-299.519,0.998196
267,-299.521,0.998202
268,-299.522,0.998209
269,-299.524,0.998216
270,-299.526,0.998222
271,-299.528,0.998229
272,-299.529,0.998235
273,-299.531,0.998242
274,-299.533,0.998248
275,-299.535,0.998255
276,-299.536,0.998261
277,-299.538,0.998267
278,-299.54,0.998273
279,-299.541,0.99828
280,-299.543,0.998286
281,-299.544,0.998292
282,-299.546,0.998298
283,-299.548,0.998304
284,-299.549,0.99831
285,-299.551,0.998316
286,-299.552,0.998322
287,-299.554,0.998328
288,-299.556,0.998333
289,-299.557,0.998339
290,-299.559,0.998345
291,-299.56,0.998351
292,-299.562,0.998356
293,-299.563,0.998362
294,-299.565,0.998367
295,-299.566,0.998373
296,-299.568,0.998378
297,-299.569,0.998384
298,-299.57,0.998389
299,-299.572,0.998395
300,-299.573,0.9984
301,-299.575,0.998405
302,-299.576,0.998411
303,-299.578,0.998416
304,-299.579,0.998421
305,-299.58,0.998426
306,-299.582,0.998431
307,-299.583,0.998437
308,-299.584,0.998442
309,-299.586,0.998447
310,-299.587,0.998452
311,-299.588,0.998457
312,-299.59,0.998462
313,-299.591,0.998466
314,-299.592,0.998471
315,-299.594,0.998476
316,-299.595,0.998481
317,-299.596,0.998486
318,-299.597,0.998491
319,-299.599,0.998495
320,-299.6,0.9985
321,-299.601,0.998505
322,-299.602,0.998509
323,-299.604,0.998514
324,-299.605,0.998519
325,-299.606,0.998523
326,-299.607,0.998528
327,-299.609,0.998532
328,-299.61,0.998537
329,-299.611,0.998541
330,-299.612,0.998546
331,-299.613,0.99855
332,-299.614,0.998554
333,-299.616,0.998559
334,-299.617,0.998563
335,-299.618,0.998567
336,-299.619,0.998572
337,-299.62,0.998576
338,-299.621,0.99858
339,-299.622,0.998584
340,-299.624,0.998588
341,-299.625,0.998592
342,-299.626,0.998597
343,-299.627,0.998601
344,-299.628,0.998605
345,-299.629,0.998609
346,-299.63,0.998613
347,-299.631,0.998617
348,-299.632,0.998621
349,-299.633,0.998625
350,-299.634,0.998629
351,-299.635,0.998633
352,-299.636,0.998636
353,-299.637,0.99864
354,-299.638,0.998644
355,-299.639,0.998648
356,-299.64,0.998652
357,-299.641,0.998655
358,-299.642,0.998659
359,-299.643,0.998663
360,-299.644,0.998667
361,-299.645,0.99867
362,-299.646,0.998674
363,-299.647,0.998678
364,-299.648,0.998681
365,-299.649,0.998685
366,-299.65,0.998689
367,-299.651,0.998692
368,-299.652,0.998696
369,-299.653,0.998699
370,-299.654,0.998703
371,-299.655,0.998706
372,-299.656,0.99871
373,-299.657,0.998713
374,-299.658,0.998717
375,-299.659,0.99872
376,-299.66,0.998723
377,-299.66,0.998727
378,-299.661,0.99873
379,-299.662,0.998734
380,-299.663,0.998737
381,-299.664,0.99874
382,-299.665,0.998744
383,-299.666,0.998747
384,-299.667,0.99875
385,-299.668,0.998753
386,-299.668,0.998757
387,-299.669,0.99876
388,-299.67,0.998763
389,-299.671,0.998766
390,-299.672,0.998769
391,-299.673,0.998772
392,-299.673,0.998776
393,-299.674,0.998779
394,-299.675,0.998782
395,-299.676,0.998785
396,-299.677,0.998788
397,-299.678,0.998791
398,-299.678,0.998794
399,-299.679,0.998797
400,-299.68,0.9988
