index,mean energies,mean magnetisations
1,-198,0.66
2,-249,0.83
3,-266,0.886667
4,-274.5,0.915
5,-279.6,0.932
6,-283,0.943333
7,-285.429,0.951429
8,-287.25,0.9575
9,-288.667,0.962222
10,-289.8,0.966
11,-290.727,0.969091
12,-291.5,0.971667
13,-292.154,0.973846
14,-292.714,0.975714
15,-293.2,0.977333
16,-293.625,0.97875
17,-294,0.98
18,-294.333,0.981111
19,-294.632,0.982105
20,-294.9,0.983
21,-295.143,0.98381
22,-295.364,0.984545
23,-295.565,0.985217
24,-295.75,0.985833
25,-295.92,0.9864
26,-296.077,0.986923
27,-296.222,0.987407
28,-296.357,0.987857
29,-296.483,0.988276
30,-296.6,0.988667
31,-296.71,0.989032
32,-296.812,0.989375
33,-296.909,0.989697
34,-297,0.99
35,-297.086,0.990286
36,-297.167,0.990556
37,-297.243,0.990811
38,-297.316,0.991053
39,-297.385,0.991282
40,-297.45,0.9915
41,-297.512,0.991707
42,-297.571,0.991905
43,-297.628,0.992093
44,-297.682,0.992273
45,-297.733,0.992444
46,-297.783,0.992609
47,-297.83,0.992766
48,-297.875,0.992917
49,-297.918,0.993061
50,-297.96,0.9932
51,-298,0.993333
52,-298.038,0.993462
53,-298.075,0.993585
54,-298.111,0.993704
55,-298.145,0.993818
56,-298.179,0.993929
57,-298.211,0.994035
58,-298.241,0.994138
59,-298.271,0.994237
60,-298.3,0.994333
61,-298.328,0.994426
62,-298.355,0.994516
63,-298.381,0.994603
64,-298.406,0.994687
65,-298.431,0.994769
66,-298.455,0.994849
67,-298.478,0.994925
68,-298.5,0.995
69,-298.522,0.995073
70,-298.543,0.995143
71,-298.563,0.995211
72,-298.583,0.995278
73,-298.603,0.995342
74,-298.622,0.995405
75,-298.64,0.995467
76,-298.658,0.995526
77,-298.675,0.995584
78,-298.692,0.995641
79,-298.709,0.995696
80,-298.725,0.99575
81,-298.741,0.995803
82,-298.756,0.995854
83,-298.771,0.995904
84,-298.786,0.995952
85,-298.8,0.996
86,-298.814,0.996047
87,-298.828,0.996092
88,-298.841,0.996136
89,-298.854,0.99618
90,-298.867,0.996222
91,-298.879,0.996264
92,-298.891,0.996304
93,-298.903,0.996344
94,-298.915,0.996383
95,-298.926,0.996421
96,-298.938,0.996458
97,-298.948,0.996495
98,-298.959,0.996531
99,-298.97,0.996566
100,-298.98,0.9966
101,-298.99,0.996634
102,-299,0.996667
103,-299.01,0.996699
104,-299.019,0.996731
105,-299.029,0.996762
106,-299.038,0.996792
107,-299.047,0.996822
108,-299.056,0.996852
109,-299.064,0.996881
110,-299.073,0.996909
111,-299.081,0.996937
112,-299.089,0.996964
113,-299.097,0.996991
114,-299.105,0.997018
115,-299.113,0.997043
116,-299.121,0.997069
117,-299.128,0.997094
118,-299.136,0.997119
119,-299.143,0.997143
120,-299.15,0.997167
121,-299.157,0.99719
122,-299.164,0.997213
123,-299.171,0.997236
124,-299.177,0.997258
125,-299.184,0.99728
126,-299.19,0.997302
127,-299.197,0.997323
128,-299.203,0.997344
129,-299.209,0.997364
130,-299.215,0.997385
131,-299.221,0.997405
132,-299.227,0.997424
133,-299.233,0.997444
134,-299.239,0.997463
135,-299.244,0.997482
136,-299.25,0.9975
137,-299.255,0.997518
138,-299.261,0.997536
139,-299.266,0.997554
140,-299.271,0.997571
141,-299.277,0.997589
142,-299.282,0.997606
143,-299.287,0.997622
144,-299.292,0.997639
145,-299.297,0.997655
146,-299.301,0.997671
147,-299.306,0.997687
148,-299.311,0.997703
149,-299.315,0.997718
150,-299.32,0.997733
151,-299.324,0.997748
152,-299.329,0.997763
153,-299.333,0.997778
154,-299.338,0.997792
155,-299.342,0.997806
156,-299.346,0.997821
157,-299.35,0.997834
158,-299.354,0.997848
159,-299.358,0.997862
160,-299.362,0.997875
161,-299.366,0.997888
162,-299.37,0.997901
163,-299.374,0.997914
164,-299.378,0.997927
165,-299.382,0.997939
166,-299.386,0.997952
167,-299.389,0.997964
168,-299.393,0.997976
169,-299.396,0.997988
170,-299.4,0.998
171,-299.404,0.998012
172,-299.407,0.998023
173,-299.41,0.998035
174,-299.414,0.998046
175,-299.417,0.998057
176,-299.42,0.998068
177,-299.424,0.998079
178,-299.427,0.99809
179,-299.43,0.998101
180,-299.433,0.998111
181,-299.436,0.998122
182,-299.44,0.998132
183,-299.443,0.998142
184,-299.446,0.998152
185,-299.449,0.998162
186,-299.452,0.998172
187,-299.455,0.998182
188,-299.457,0.998192
189,-299.46,0.998201
190,-299.463,0.998211
191,-299.466,0.99822
192,-299.469,0.998229
193,-299.471,0.998238
194,-299.474,0.998247
195,-299.477,0.998256
196,-299.48,0.998265
197,-299.482,0.998274
198,-299.485,0.998283
199,-299.487,0.998291
200,-299.44,0.9982
201,-299.443,0.998209
202,-299.446,0.998218
203,-299.448,0.998227
204,-299.451,0.998235
205,-299.454,0.998244
206,-299.456,0.998252
207,-299.459,0.998261
208,-299.462,0.998269
209,-299.464,0.998277
210,-299.467,0.998286
211,-299.469,0.998294
212,-299.472,0.998302
213,-299.474,0.99831
214,-299.477,0.998318
215,-299.479,0.998326
216,-299.481,0.998333
217,-299.484,0.998341
218,-299.486,0.998349
219,-299.489,0.998356
220,-299.491,0.998364
221,-299.493,0.998371
222,-299.495,0.998378
223,-299.498,0.998386
224,-299.5,0.998393
225,-299.502,0.9984
226,-299.504,0.998407
227,-299.507,0.998414
228,-299.509,0.998421
229,-299.511,0.998428
230,-299.513,0.998435
231,-299.515,0.998442
232,-299.517,0.998448
233,-299.519,0.998455
234,-299.521,0.998462
235,-299.523,0.998468
236,-299.525,0.998475
237,-299.527,0.998481
238,-299.529,0.998487
239,-299.531,0.998494
